ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
ORCL,2020-01-28,0,0,0,0,1.0,5.0,0.0,2.0,1.0,46.0,47.0
ORCL,2020-01-29,0,0,0,0,0.0,5.0,0.0,2.0,1.0,47.0,48.0
ORCL,2020-01-30,0,0,0,0,0.0,5.0,0.0,2.0,1.0,48.0,49.0
ORCL,2020-01-31,0,0,0,0,0.0,5.0,0.0,2.0,1.0,49.0,50.0
ORCL,2020-02-03,0,0,0,0,0.0,5.0,0.0,2.0,1.0,52.0,53.0
ORCL,2020-02-04,0,0,0,0,0.0,5.0,0.0,2.0,1.0,53.0,54.0
ORCL,2020-02-05,0,0,0,0,0.0,5.0,0.0,2.0,1.0,54.0,55.0
ORCL,2020-02-06,0,0,0,0,0.0,5.0,0.0,2.0,1.0,55.0,56.0
ORCL,2020-02-07,0,0,0,0,0.0,5.0,0.0,2.0,1.0,56.0,57.0
ORCL,2020-02-10,0,0,0,0,0.0,5.0,0.0,2.0,1.0,59.0,60.0
ORCL,2020-02-11,0,0,0,0,0.0,5.0,0.0,2.0,1.0,60.0,61.0
ORCL,2020-02-12,0,0,0,0,0.0,5.0,0.0,2.0,1.0,61.0,62.0
ORCL,2020-02-13,0,0,0,0,0.0,5.0,0.0,2.0,1.0,62.0,63.0
ORCL,2020-02-14,0,0,0,0,0.0,5.0,0.0,2.0,1.0,63.0,64.0
ORCL,2020-02-18,0,0,0,0,0.0,5.0,0.0,2.0,1.0,67.0,68.0
ORCL,2020-02-19,0,0,0,0,0.0,5.0,0.0,2.0,1.0,68.0,69.0
ORCL,2020-02-20,0,0,0,0,0.0,5.0,0.0,2.0,1.0,69.0,70.0
ORCL,2020-02-21,0,0,0,0,0.0,5.0,0.0,2.0,1.0,70.0,71.0
ORCL,2020-02-24,0,0,0,0,0.0,5.0,0.0,2.0,1.0,73.0,74.0
ORCL,2020-02-25,0,0,0,0,0.0,5.0,0.0,2.0,1.0,74.0,75.0
ORCL,2020-02-26,0,0,0,0,0.0,5.0,0.0,2.0,1.0,75.0,76.0
ORCL,2020-02-27,0,0,0,0,0.0,5.0,0.0,2.0,1.0,76.0,77.0
ORCL,2020-02-28,0,0,0,0,0.0,4.0,0.0,2.0,1.0,77.0,78.0
ORCL,2020-03-02,0,0,0,0,0.0,4.0,0.0,2.0,1.0,80.0,81.0
ORCL,2020-03-03,0,0,0,0,0.0,4.0,0.0,2.0,1.0,81.0,82.0
ORCL,2020-03-04,0,0,0,0,0.0,4.0,0.0,2.0,1.0,82.0,83.0
ORCL,2020-03-05,0,0,0,0,0.0,4.0,0.0,2.0,1.0,83.0,84.0
ORCL,2020-03-06,0,0,0,0,0.0,4.0,0.0,2.0,1.0,84.0,85.0
ORCL,2020-03-09,0,0,0,0,0.0,4.0,0.0,2.0,1.0,87.0,88.0
ORCL,2020-03-10,0,0,0,0,0.0,4.0,0.0,2.0,1.0,88.0,89.0
ORCL,2020-03-11,0,0,0,0,0.0,4.0,0.0,2.0,1.0,89.0,90.0
ORCL,2020-03-12,1,0,0,1,1.0,5.0,1.0,2.0,1.0,0.0,0.0
ORCL,2020-03-13,1,0,1,0,2.0,6.0,1.0,3.0,1.0,0.0,1.0
ORCL,2020-03-16,0,0,0,0,2.0,6.0,1.0,3.0,1.0,3.0,4.0
ORCL,2020-03-17,0,0,0,0,2.0,6.0,1.0,3.0,1.0,4.0,5.0
ORCL,2020-03-18,0,0,0,0,2.0,6.0,1.0,3.0,1.0,5.0,6.0
ORCL,2020-03-19,0,0,0,0,2.0,6.0,1.0,3.0,1.0,6.0,7.0
ORCL,2020-03-20,0,0,0,0,2.0,6.0,1.0,3.0,1.0,7.0,8.0
ORCL,2020-03-23,0,0,0,0,2.0,6.0,1.0,3.0,1.0,10.0,11.0
ORCL,2020-03-24,0,0,0,0,2.0,6.0,1.0,3.0,1.0,11.0,12.0
ORCL,2020-03-25,0,0,0,0,2.0,6.0,1.0,3.0,1.0,12.0,13.0
ORCL,2020-03-26,0,0,0,0,2.0,6.0,1.0,3.0,1.0,13.0,14.0
ORCL,2020-03-27,0,0,0,0,2.0,6.0,1.0,3.0,1.0,14.0,15.0
ORCL,2020-03-30,0,0,0,0,2.0,6.0,1.0,3.0,1.0,17.0,18.0
ORCL,2020-03-31,0,0,0,0,2.0,6.0,1.0,3.0,1.0,18.0,19.0
ORCL,2020-04-01,1,0,0,1,3.0,7.0,2.0,3.0,1.0,0.0,0.0
ORCL,2020-04-02,0,0,0,0,3.0,7.0,2.0,3.0,1.0,1.0,1.0
ORCL,2020-04-03,0,0,0,0,3.0,6.0,2.0,3.0,1.0,2.0,2.0
ORCL,2020-04-06,0,0,0,0,3.0,6.0,2.0,3.0,1.0,5.0,5.0
ORCL,2020-04-07,0,0,0,0,3.0,6.0,2.0,3.0,1.0,6.0,6.0
ORCL,2020-04-08,0,0,0,0,3.0,6.0,2.0,3.0,1.0,7.0,7.0
ORCL,2020-04-09,0,0,0,0,3.0,6.0,2.0,3.0,1.0,8.0,8.0
ORCL,2020-04-13,0,0,0,0,3.0,6.0,2.0,3.0,1.0,12.0,12.0
ORCL,2020-04-14,0,0,0,0,3.0,6.0,2.0,3.0,1.0,13.0,13.0
ORCL,2020-04-15,0,0,0,0,3.0,6.0,2.0,3.0,1.0,14.0,14.0
ORCL,2020-04-16,0,0,0,0,3.0,6.0,2.0,3.0,1.0,15.0,15.0
ORCL,2020-04-17,0,0,0,0,3.0,6.0,2.0,3.0,1.0,16.0,16.0
ORCL,2020-04-20,0,0,0,0,3.0,5.0,2.0,3.0,1.0,19.0,19.0
ORCL,2020-04-21,0,0,0,0,3.0,5.0,2.0,3.0,1.0,20.0,20.0
ORCL,2020-04-22,0,0,0,0,3.0,5.0,2.0,3.0,1.0,21.0,21.0
ORCL,2020-04-23,0,0,0,0,3.0,4.0,2.0,3.0,1.0,22.0,22.0
ORCL,2020-04-24,0,0,0,0,2.0,3.0,1.0,3.0,1.0,23.0,23.0
ORCL,2020-04-27,0,0,0,0,1.0,3.0,1.0,3.0,1.0,26.0,26.0
