ticker,date,open,high,low,close,volume,source,collected_at
INTC,2021-06-21,51.0201,51.2856,50.6724,51.1294,21039876.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-22,51.1933,51.5052,50.7959,51.1294,20415026.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-23,51.1294,51.2244,50.5434,50.5717,22168914.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-24,50.7817,51.3401,50.6441,51.3119,23176240.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-25,51.2668,51.6191,51.0153,51.166,23057687.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-28,51.5775,52.8267,51.5596,52.6033,24565242.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-29,52.6674,52.9236,51.1386,51.9354,28804016.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-06-30,51.5596,51.5907,50.6903,51.3769,32663046.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-01,51.3674,51.8328,51.1294,51.2573,27177616.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-02,51.7519,52.154,51.5408,51.9449,18820499.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-06,52.091,52.1728,50.9728,51.3308,28614542.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-07,51.587,51.6604,50.9775,51.2122,16234923.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-08,50.6168,50.9917,50.1402,50.6903,20938607.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-09,50.8005,51.344,50.6168,51.2395,20442557.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-12,51.4862,51.9403,51.3487,51.9167,16819932.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-13,51.8158,52.4386,51.5596,52.0448,17173124.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-14,52.3197,52.5799,51.5541,51.7236,17771527.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-15,51.6142,51.6142,50.8541,51.0746,20670982.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-16,51.295,52.0984,50.241,50.3061,27606179.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-19,49.7936,50.1543,49.3913,50.0027,29511741.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-20,50.2542,50.8457,49.6636,50.5528,21708975.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-21,50.4972,51.5052,50.3436,51.459,20212174.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-22,51.3024,51.7425,50.956,51.2122,40092868.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-23,49.95,50.0686,47.8806,48.503,74023127.0,stooq,2026-05-21 19:51:15.904771+00:00
