ticker,cik,accession_number,filing_date,report_date,form_type,source,collected_at
INTC,50863,0000050863-17-000041,2017-07-27,2017-07-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-17-000040,2017-07-27,2017-07-27,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-250756,2017-08-08,2017-08-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-256795,2017-08-14,2017-08-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-264093,2017-08-22,2017-08-21,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-265718,2017-08-23,2017-08-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-286860,2017-09-18,2017-09-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-17-000048,2017-10-26,2017-09-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-17-000047,2017-10-26,2017-10-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-329604,2017-11-01,2017-10-30,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-345604,2017-11-16,2017-11-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-349304,2017-11-21,2017-11-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-354884,2017-11-29,2017-11-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-17-356852,2017-11-30,2017-11-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000003,2018-01-25,2018-01-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-048764,2018-02-16,2018-02-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000007,2018-02-16,2017-12-30,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-086793,2018-03-19,2018-03-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000012,2018-04-26,2018-04-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000013,2018-04-27,2018-03-31,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-172017,2018-05-23,2018-05-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-199045,2018-06-21,2018-06-20,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000021,2018-07-26,2018-07-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000022,2018-07-27,2018-06-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-242857,2018-08-08,2018-08-02,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000027,2018-10-25,2018-10-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-18-000029,2018-10-26,2018-09-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-18-328042,2018-11-15,2018-11-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-011545,2019-01-17,2019-01-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000003,2019-01-24,2019-01-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-023301,2019-01-31,2019-01-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000007,2019-02-01,2018-12-29,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-076708,2019-03-15,2019-03-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-085353,2019-03-25,2019-03-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-096036,2019-04-03,2019-04-02,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-102881,2019-04-10,2019-04-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000012,2019-04-25,2019-04-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000013,2019-04-26,2019-03-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-142117,2019-05-09,2019-05-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-153332,2019-05-22,2019-05-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000022,2019-07-25,2019-07-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000023,2019-07-26,2019-06-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-244848,2019-09-13,2019-09-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-254731,2019-09-25,2019-09-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000028,2019-10-24,2019-10-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-19-000029,2019-10-25,2019-09-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-292429,2019-11-14,2019-11-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-296610,2019-11-20,2019-11-20,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-297652,2019-11-21,2019-11-18,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-19-299901,2019-11-25,2019-11-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-011010,2020-01-21,2020-01-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-012078,2020-01-22,2020-01-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000007,2020-01-23,2020-01-23,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000011,2020-01-24,2019-12-28,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-035758,2020-02-13,2020-02-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-083209,2020-03-24,2020-03-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-085163,2020-03-25,2020-03-20,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000016,2020-04-23,2020-04-23,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000017,2020-04-24,2020-03-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-147273,2020-05-20,2020-05-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-171288,2020-06-17,2020-06-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000025,2020-07-23,2020-07-23,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000026,2020-07-24,2020-06-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-199804,2020-07-27,2020-07-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-220333,2020-08-14,2020-08-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-224772,2020-08-19,2020-08-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-20-272580,2020-10-20,2020-10-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000042,2020-10-22,2020-10-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-20-000043,2020-10-23,2020-09-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-009142,2021-01-14,2021-01-12,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000009,2021-01-21,2021-01-21,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-014847,2021-01-22,2021-01-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000010,2021-01-22,2020-12-26,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-047794,2021-02-18,2021-02-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-082782,2021-03-16,2021-03-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-091374,2021-03-23,2021-03-23,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000017,2021-04-22,2021-04-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000018,2021-04-23,2021-03-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-166587,2021-05-19,2021-05-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-196285,2021-06-22,2021-06-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-214206,2021-07-13,2021-07-09,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-218615,2021-07-19,2021-07-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000029,2021-07-22,2021-07-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
