ticker,reference_date,fiscal_year,fiscal_period,assets,cash_and_equivalents,net_income,operating_income,rd_expense,revenue,stockholders_equity,operating_margin,net_margin,cash_to_assets,equity_to_assets,rd_to_revenue,revenue_growth_qoq,revenue_growth_yoy,net_income_growth_qoq,net_income_growth_yoy,assets_growth_qoq
MSFT,2016-12-31,2018.0,Q3,224610000000.0,8468000000.0,11934000000.0,14620000000.0,6168000000.0,25826000000.0,81829000000.0,0.5660961821420274,0.4620924649577945,0.03770090378878946,0.3643159253817729,0.23882908696662278,0.1777635899306822,-0.7166772714307655,1.1058761249338276,1.5445628997867802,0.056868871280420175
MSFT,2017-03-31,2018.0,Q3,225017000000.0,6713000000.0,17420000000.0,21343000000.0,9523000000.0,23212000000.0,83491000000.0,0.919481302774427,0.7504738928140617,0.029833301483887884,0.37104307674531256,0.41026193348268136,0.05855527179861375,-0.1012158290095253,0.7613751263902933,0.4596949891067539,0.0018120297404389252
MSFT,2017-06-30,2019.0,Q2,250312000000.0,7663000000.0,25489000000.0,29025000000.0,13037000000.0,96571000000.0,87711000000.0,0.3005560675565128,0.26394052044609667,0.030613793985106587,0.35040669244782513,0.13499911981857907,2.7392937349957407,3.1603911769774253,0.7350078279218568,0.4632032146957521,0.11241372874049516
MSFT,2017-09-30,2019.0,Q1,249097000000.0,6884000000.0,6576000000.0,7708000000.0,3574000000.0,24538000000.0,89647000000.0,0.3141250305648382,0.2679925014263591,0.027635820583949224,0.35988791514952007,0.14565164235063982,0.0,0.0,0.0,0.0,0.0
MSFT,2017-12-31,2019.0,Q2,256003000000.0,12859000000.0,274000000.0,16387000000.0,7078000000.0,53456000000.0,78360000000.0,0.3065511822807543,0.005125710865010476,0.05022988011859236,0.30609016300590225,0.13240796168811733,1.1784986551471186,1.1784986551471186,-0.9583333333333334,-0.9583333333333334,0.027724139592206987
MSFT,2018-03-31,2019.0,Q3,245497000000.0,9221000000.0,7698000000.0,24679000000.0,10793000000.0,80275000000.0,79239000000.0,0.307430706944877,0.09589535970102772,0.03756054045466951,0.3227697283469859,0.1344503270009343,1.9932137663596703,1.7759526938239159,0.03690732758620685,-2.2215169787369087,0.0
MSFT,2018-06-30,2019.0,Q3,258848000000.0,11946000000.0,16571000000.0,35058000000.0,14726000000.0,110360000000.0,82718000000.0,0.3176694454512505,0.1501540413193186,0.04615063666707875,0.3195620595870936,0.1334360275462124,0.0,3.114993101905365,0.0,1.1526370485840478,0.0
MSFT,2018-09-30,2020.0,Q1,257619000000.0,15137000000.0,8824000000.0,9955000000.0,3977000000.0,29084000000.0,85967000000.0,0.34228441754916794,0.3033970568009902,0.058757312154771195,0.3336982132529045,0.13674185118965754,0.0,0.0,0.0,0.0,0.0
MSFT,2018-12-31,2020.0,Q2,258859000000.0,6638000000.0,17244000000.0,20213000000.0,8047000000.0,61555000000.0,92128000000.0,0.3283729997563155,0.2801397124522785,0.02564330388358141,0.3559003163884586,0.1307286166842661,0.8956915401435126,1.1164557832485213,1.0479809976247032,0.9542157751586582,0.0
MSFT,2019-03-31,2020.0,Q3,263281000000.0,11212000000.0,26053000000.0,30554000000.0,12363000000.0,92126000000.0,94864000000.0,0.3316544732214576,0.282797473026073,0.042585678419635294,0.36031464480915826,0.13419664372706944,2.0135095351803995,0.4966452765819187,1.9575434215007377,0.5108443516585479,0.0
